id,status,score_100,bucket,aggregate_view,prompt_version,model,occlusion_overlap_check,occlusion_findings,occlusion_affected_axes,input_path,rationale
card_dsl_1e75a82d2e,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-010\card.dsl.png,"image: 命中[0,10)档：属于单操作默认系统提示面板类型；可见证据是浅灰底色上放置两个无装饰默认白卡，仅用系统无衬线字体展示静态省电提示文本，搭配默认样式的绿色进度条与单个蓝色操作按钮，页面存在大量无效空白，无自定义视觉系统与设计打磨；未进更高档因为缺乏稳定页头、多交互控件、列表等更丰富的页面结构，全为原生默认控件，未达低质量模板的结构丰富度。"
card_dsl_a635eaf539,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-015\card.dsl.png,"image: 命中[0,10)档：属于粗糙未完成的手机信息组件练习类界面；可见证据是紫色渐变背景，存在3处无内容的纯白占位块（左上角、底部两个图标位未设计实际内容），天气温度信息残缺（斜杠后无对应低温数值），排版简陋无成熟视觉设计系统；未进更高档因为多处内容未完成、核心信息有缺失，视觉质量接近失败，无产品级完成度。"
card_dsl_27aad3cfa5,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-016\card.dsl.png,"image: 命中[0,10)档：属于零散控件拼接的粗糙待办提醒类练习小工具；可见证据是仅堆砌电量、低电提示、天气、默认复选框与按钮，无成型视觉系统，复选框错位压住待办文字，排版松散细节粗糙；未进更高档因为无完整产品结构与设计语言，存在布局缺陷，仅为简陋原型。"
card_dsl_4690233cac,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,"[{""affected_axes"": [""basic_usability"", ""detail_finish"", ""composition_hierarchy"", ""typography""], ""evidence"": ""白色闪电图标重叠在电量百分比的中间数位区域，导致该数位无法清晰辨识，阻碍核心数据读取"", ""severity"": ""severe"", ""target"": ""核心电量百分比文本"", ""type"": ""text_graphic""}, {""affected_axes"": [""detail_finish"", ""visual_impact_originality"", ""basic_usability"", ""typography"", ""composition_hierarchy""], ""evidence"": ""两个功能卡片上部仅显示无内容的空心占位矩形，未呈现对应功能图标，控件内容缺失"", ""severity"": ""moderate"", ""target"": ""省电、勿扰功能入口的图标区域"", ""type"": ""clipping_crop""}]","[{""axis"": ""visual_impact_originality"", ""finding_types"": [""clipping_crop""], ""score"": 0.6, ""severity"": ""moderate"", ""weight"": 0.3, ""weighted_contribution"": 0.18, ""weighted_loss_from_max"": 2.22}, {""axis"": ""composition_hierarchy"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 0.3, ""severity"": ""severe"", ""weight"": 0.2, ""weighted_contribution"": 0.06, ""weighted_loss_from_max"": 1.54}, {""axis"": ""typography"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 0.1, ""severity"": ""severe"", ""weight"": 0.15, ""weighted_contribution"": 0.015, ""weighted_loss_from_max"": 1.185}, {""axis"": ""detail_finish"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 0.1, ""severity"": ""severe"", ""weight"": 0.15, ""weighted_contribution"": 0.015, ""weighted_loss_from_max"": 1.185}, {""axis"": ""basic_usability"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 0.2, ""severity"": ""severe"", ""weight"": 0.05, ""weighted_contribution"": 0.01, ""weighted_loss_from_max"": 0.39}]",D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-013\card.dsl.png,"image: ZERO_DEFECT: 命中[0,10)档：属于粗糙未完成的低电提示类小工具；可见证据是紫渐变圆角背景搭配三个简易卡片，核心电量百分比的中间数位被闪电图标遮挡无法辨识，省电、勿扰项的图标为空白占位框，仅配普通白色文字，无成熟视觉体系；未进更高档因为存在核心数据遮挡、控件缺失的硬缺陷，完成度极低，达不到低质量demo的稳定可用标准。"
card_dsl_c1162018c6,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-012\card.dsl.png,"image: 命中[10,20)档：属于低质量简易状态展示类demo；可见证据是布局稳定清晰，设置了低电模式标题、天气状态模块、三个环形电量相关数据指标、低电告警操作按钮，功能可识别，但全部使用默认基础组件，采用系统默认字体，色彩搭配无统一体系，细节粗糙，内容稀疏；未进更高档因为缺乏定制化视觉系统与品牌设计，无多模块产品结构，达不到20-30档的完整工作流要求。"
card_dsl_902d53d00f,scored,35.0,"[30,40)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,"[{""affected_axes"": [""typography"", ""color_material"", ""basic_usability"", ""composition_hierarchy"", ""detail_finish""], ""evidence"": ""该核心数字使用纯黑色，放置在左上角深紫近黑的渐变背景上，对比度不足，文字左半部分与背景融合度高，辨识度较差"", ""severity"": ""moderate"", ""target"": ""核心电量百分比文本“4%”"", ""type"": ""text_graphic""}, {""affected_axes"": [""detail_finish"", ""basic_usability"", ""typography"", ""composition_hierarchy""], ""evidence"": ""该日程条目末尾文字被卡片容器裁切，缺失字符导致语义不完整"", ""severity"": ""minor"", ""target"": ""日程条目文本“17:30 登机前确”"", ""type"": ""clipping_crop""}]","[{""axis"": ""composition_hierarchy"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 2.7, ""severity"": ""moderate"", ""weight"": 0.2, ""weighted_contribution"": 0.54, ""weighted_loss_from_max"": 1.06}, {""axis"": ""typography"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 2.4, ""severity"": ""moderate"", ""weight"": 0.15, ""weighted_contribution"": 0.36, ""weighted_loss_from_max"": 0.84}, {""axis"": ""color_material"", ""finding_types"": [""text_graphic""], ""score"": 3.2, ""severity"": ""moderate"", ""weight"": 0.15, ""weighted_contribution"": 0.48, ""weighted_loss_from_max"": 0.72}, {""axis"": ""detail_finish"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 2.3, ""severity"": ""moderate"", ""weight"": 0.15, ""weighted_contribution"": 0.345, ""weighted_loss_from_max"": 0.855}, {""axis"": ""basic_usability"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 2.6, ""severity"": ""moderate"", ""weight"": 0.05, ""weighted_contribution"": 0.13, ""weighted_loss_from_max"": 0.27}]",D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-014\card.dsl.png,"image: 命中[30,40)档：属于紫色玻璃风格的系统工具小组件类型；可见证据是界面分低电状态、今日日程、省电设置三个功能模块，布局结构完整，有统一的紫色视觉主题，但核心电量百分比黑字在深背景上对比度低、辨识度差，日程条目存在文字裁切缺字问题；未进更高档因为存在明显可读性缺陷与细节瑕疵，精致度不足，达不到连贯成熟的普通设计UI要求。"
card_dsl_7b06bf59ac,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-017\card.dsl.png,"image: 命中[0,10)档：属于简陋的单卡片提示类小工具；可见证据是仅展示静态天气、温度、湿度文本，配有单个操作按钮，存在大面积无标识的白色块，仅使用平涂绿白配色、默认系统字体排版，无成熟视觉设计体系；未进更高档因为控件极少、空白占比高，状态丰富度不足，不满足[10,20)档所需的多控件或列表类模板结构。"
card_dsl_4c412ced32,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-019\card.dsl.png,"image: 命中[10,20)档：属于低质量粗糙工具提示弹窗类型；可见证据是布局稳定，有明确标题、天气信息、三个功能入口按钮与主操作按钮，功能可识别，但图标为粗糙默认素材，仅用基础橙白配色，无定制视觉系统与细节打磨；未进更高档因为结构极简单稀疏，无多区块完整产品工作流，设计粗糙达不到低完成度产品页要求。"
card_dsl_dafeb19e56,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-018\card.dsl.png,"image: 命中[10,20)档：属于低质量设备状态演示小工具类型；可见证据是紫色背景上排布稳定的上下两排白色圆角卡片，含2个原生默认样式复选框开关、3个简陋粉色环形进度与状态文字，基础功能可识别；未进更高档因为控件大量沿用原生默认样式，无统一品牌视觉系统，缺乏完整产品工作流，细节粗糙，达不到20-30档的完整产品结构要求。"
card_dsl_d268b49967,scored,45.0,"[40,50)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-020\card.dsl.png,"image: 命中[40,50)档：属于智能穿戴端低电量快捷操作面板类型；可见证据是采用统一深色圆角设计，横向分布电量展示、日程提醒、快捷操作三模块，核心电量、日程内容、操作按钮清晰可读，绿色主按钮突出，层级明确；未进更高档因为存在顶部“低于10%”文字与背景对比度低的瑕疵，视觉语言通用无独特品牌系统，细节打磨不足。"
